matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
olm1000, 1000, 1000, 3996, CSR, 0.006757, 1.182781, 14
olm1000, 1000, 1000, 3996, HLL, 0.014952, 0.534496, 14
olm1000, 1000, 1000, 3996, CSR, 0.005587, 1.430391, 15
olm1000, 1000, 1000, 3996, HLL, 0.012636, 0.632493, 15
olm1000, 1000, 1000, 3996, CSR, 0.005833, 1.370083, 16
olm1000, 1000, 1000, 3996, HLL, 0.013752, 0.581137, 16
olm1000, 1000, 1000, 3996, CSR, 0.005965, 1.339867, 17
olm1000, 1000, 1000, 3996, HLL, 0.014479, 0.551963, 17
olm1000, 1000, 1000, 3996, CSR, 0.006407, 1.247415, 18
olm1000, 1000, 1000, 3996, HLL, 0.016457, 0.485619, 18
olm1000, 1000, 1000, 3996, CSR, 0.006500, 1.229534, 19
olm1000, 1000, 1000, 3996, HLL, 0.014881, 0.537073, 19
olm1000, 1000, 1000, 3996, CSR, 0.006773, 1.180012, 20
olm1000, 1000, 1000, 3996, HLL, 0.016730, 0.477702, 20
olm1000, 1000, 1000, 3996, CSR, 0.008083, 0.988714, 21
olm1000, 1000, 1000, 3996, HLL, 0.017095, 0.467495, 21
olm1000, 1000, 1000, 3996, CSR, 0.007768, 1.028790, 22
olm1000, 1000, 1000, 3996, HLL, 0.016575, 0.482171, 22
olm1000, 1000, 1000, 3996, CSR, 0.010756, 0.743043, 23
olm1000, 1000, 1000, 3996, HLL, 0.020719, 0.385726, 23
olm1000, 1000, 1000, 3996, CSR, 0.008428, 0.948262, 24
olm1000, 1000, 1000, 3996, HLL, 0.018710, 0.427150, 24
olm1000, 1000, 1000, 3996, CSR, 0.010913, 0.732362, 25
olm1000, 1000, 1000, 3996, HLL, 0.022421, 0.356458, 25
olm1000, 1000, 1000, 3996, CSR, 0.008962, 0.891793, 26
olm1000, 1000, 1000, 3996, HLL, 0.018362, 0.435241, 26
olm1000, 1000, 1000, 3996, CSR, 0.008814, 0.906757, 27
olm1000, 1000, 1000, 3996, HLL, 0.018339, 0.435804, 27
olm1000, 1000, 1000, 3996, CSR, 0.011411, 0.700381, 28
olm1000, 1000, 1000, 3996, HLL, 0.022925, 0.348617, 28
olm1000, 1000, 1000, 3996, CSR, 0.012307, 0.649382, 29
olm1000, 1000, 1000, 3996, HLL, 0.023538, 0.339538, 29
olm1000, 1000, 1000, 3996, CSR, 0.009045, 0.883620, 30
olm1000, 1000, 1000, 3996, HLL, 0.021002, 0.380535, 30
olm1000, 1000, 1000, 3996, CSR, 0.009627, 0.830158, 31
olm1000, 1000, 1000, 3996, HLL, 0.021020, 0.380201, 31
olm1000, 1000, 1000, 3996, CSR, 0.009652, 0.828035, 32
olm1000, 1000, 1000, 3996, HLL, 0.021810, 0.366431, 32
olm1000, 1000, 1000, 3996, CSR, 0.010130, 0.788930, 33
olm1000, 1000, 1000, 3996, HLL, 0.022648, 0.352875, 33
olm1000, 1000, 1000, 3996, CSR, 0.010862, 0.735777, 34
olm1000, 1000, 1000, 3996, HLL, 0.021543, 0.370972, 34
olm1000, 1000, 1000, 3996, CSR, 0.012848, 0.622045, 35
olm1000, 1000, 1000, 3996, HLL, 0.026135, 0.305797, 35
